CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,DEMOCRATAS,PDC,ISA,CDC,T,UNIR,PATRIA,AIR,NGP,SOMOSCHACO,MATE,APB-SUMATE,A-UPP,FAU,CCGT
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002397,8,8,0,20,5,,93,0,40,,2,,,,3,,
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002407,9,9,0,26,3,,100,0,36,,2,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002417,10,10,0,27,5,,82,0,40,,3,,,,4,,
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002427,11,11,0,15,2,,94,0,57,,4,,,,6,,
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002437,12,4,0,40,5,,89,0,21,,3,,,,7,,
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002447,13,16,0,25,5,,78,0,30,,3,,,,5,,
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002457,14,12,0,29,2,,86,0,31,,3,,,,5,,
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002467,15,11,0,23,2,,103,0,33,,0,,,,3,,
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002477,16,12,0,15,5,,98,0,41,,3,,,,3,,
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002487,17,5,0,27,5,,105,0,30,,4,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002497,18,14,0,20,5,,104,0,28,,3,,,,3,,
1,Cercado,1,Tarija,2680,Tarija,69,U.E. Liceo Campero,6001297,1,8,0,18,3,,95,0,46,,0,,,,4,,
1,Cercado,1,Tarija,2680,Tarija,69,U.E. Liceo Campero,6001307,2,5,0,17,6,,108,0,52,,1,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,69,U.E. Liceo Campero,6001317,3,3,0,27,5,,108,0,47,,1,,,,1,,
1,Cercado,1,Tarija,2680,Tarija,69,U.E. Liceo Campero,6001327,4,5,0,22,1,,99,0,65,,1,,,,1,,
1,Cercado,1,Tarija,2680,Tarija,69,U.E. Liceo Campero,6001337,5,4,0,26,1,,103,0,57,,1,,,,0,,
1,Cercado,1,Tarija,2680,Tarija,69,U.E. Liceo Campero,6001347,6,0,0,4,0,,46,0,22,,0,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005257,1,6,0,18,8,,102,0,52,,1,,,,1,,
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005267,2,4,0,21,8,,110,0,48,,2,,,,1,,
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005277,3,5,0,23,3,,104,0,49,,2,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005287,4,8,0,25,4,,100,0,49,,0,,,,6,,
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005297,5,2,0,22,6,,109,0,53,,1,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005307,6,3,0,16,4,,113,0,51,,6,,,,3,,
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005317,7,10,0,15,7,,103,0,51,,1,,,,3,,
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005327,8,6,0,26,5,,108,0,52,,0,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005337,9,8,0,13,5,,107,0,47,,1,,,,4,,
1,Cercado,1,Tarija,2680,Tarija,70,U.E. Juana Azurduy De Padilla,6005347,10,9,0,21,2,,104,0,49,,1,,,,2,,
